"","country","year","onset","instab","warl","gdpenl","lpopl1","lmtnest","ncontig","Oil","nwstate","polity2l","ethfrac","relfrac"
"3458","NIGERIA",1976,0,0,0,1.24500000476837,11.0225725173950,1.22377550601959,0,1,0,-7,0.868931770324707,0.580000042915344
"3459","NIGERIA",1977,0,0,0,1.28100001811981,11.0515718460083,1.22377550601959,0,1,0,-7,0.868931770324707,0.580000042915344
"3460","NIGERIA",1978,0,0,0,1.48000001907349,11.0810804367065,1.22377550601959,0,1,0,-7,0.868931770324707,0.580000042915344
"3461","NIGERIA",1979,0,1,0,1.51300001144409,11.1111183166504,1.22377550601959,0,1,0,0,0.868931770324707,0.580000042915344
"3462","NIGERIA",1980,0,1,0,1.39300000667572,11.1416149139404,1.22377550601959,0,1,0,7,0.868931770324707,0.580000042915344
"3463","NIGERIA",1981,0,1,0,1.43799996376038,11.1725177764893,1.22377550601959,0,1,0,7,0.868931770324707,0.580000042915344
"3464","NIGERIA",1982,0,1,0,1.51499998569489,11.2038021087646,1.22377550601959,0,1,0,7,0.868931770324707,0.580000042915344
"3465","NIGERIA",1983,0,0,0,1.41900002956390,11.2355108261108,1.22377550601959,0,1,0,7,0.868931770324707,0.580000042915344
"3466","NIGERIA",1984,0,0,0,1.25899994373322,11.2672424316406,1.22377550601959,0,1,0,7,0.868931770324707,0.580000042915344
"3467","NIGERIA",1985,0,1,0,1.06799995899200,11.2984809875488,1.22377550601959,0,1,0,-7,0.868931770324707,0.580000042915344
"3468","NIGERIA",1986,0,1,0,1.06200003623962,11.3289546966553,1.22377550601959,0,1,0,-7,0.868931770324707,0.580000042915344
"3469","NIGERIA",1987,0,1,0,0.97299998998642,11.3588180541992,1.22377550601959,0,1,0,-7,0.868931770324707,0.580000042915344
"3470","NIGERIA",1988,0,0,0,0.901000022888184,11.3881893157959,1.22377550601959,0,1,0,-7,0.868931770324707,0.580000042915344
"3471","NIGERIA",1989,0,0,0,0.939999997615814,11.4171409606934,1.22377550601959,0,1,0,-7,0.868931770324707,0.580000042915344
"3472","NIGERIA",1990,0,0,0,0.95200002193451,11.4457702636719,1.22377550601959,0,1,0,-5,0.868931770324707,0.580000042915344
"3473","NIGERIA",1991,0,0,0,0.995000004768372,11.4742155075073,1.22377550601959,0,1,0,-5,0.868931770324707,0.580000042915344
"3474","NIGERIA",1992,0,0,0,1.03999996185303,11.5027036666870,1.22377550601959,0,1,0,-5,0.868931770324707,0.580000042915344
"3475","NIGERIA",1993,0,0,0,0.977999985218048,11.5327281951904,1.22377550601959,0,1,0,-5,0.868931770324707,0.580000042915344
"3476","NIGERIA",1994,0,0,0,0.971000015735626,11.5606946945190,1.22377550601959,0,1,0,-7,0.868931770324707,0.580000042915344
"3477","NIGERIA",1995,0,0,0,0.944000005722046,11.5900192260742,1.22377550601959,0,1,0,-7,0.868931770324707,0.580000042915344
"3478","NIGERIA",1996,0,0,0,0.939000010490417,11.6197423934937,1.22377550601959,0,1,0,-6,0.868931770324707,0.580000042915344
"3479","NIGERIA",1997,0,0,0,0.95200002193451,11.6489248275757,1.22377550601959,0,1,0,-6,0.868931770324707,0.580000042915344
"3480","NIGERIA",1998,0,0,0,0.950999975204468,11.6775674819946,1.22377550601959,0,1,0,-6,0.868931770324707,0.580000042915344
"3481","NIGERIA",1999,0,1,0,0.94300001859665,11.7056694030762,1.22377550601959,0,1,0,-1,0.868931770324707,0.580000042915344
"3482","GABON",1960,0,0,0,1.78900003433228,6.13122653961182,0.0676586478948593,0,0,1,-7,0.688142776489258,0.454999983310699
"3483","GABON",1961,0,0,0,1.78900003433228,6.13122653961182,0.0676586478948593,0,0,1,-7,0.688142776489258,0.454999983310699
"3484","GABON",1962,0,0,0,1.97899997234344,6.13988447189331,0.0676586478948593,0,0,0,-7,0.688142776489258,0.454999983310699
"3485","GABON",1963,0,0,0,2.11199998855591,6.14846849441528,0.0676586478948593,0,0,0,-7,0.688142776489258,0.454999983310699
